id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
61,M,1.225,0.8875,0.3,16.40018575,8.68912175,3.86970675,3.8271825,8.0
62,I,1.3125,1.0,0.3125,18.75319425,9.31281075,4.479221,4.819415,8.0
63,I,0.8125,0.6,0.1875,4.309124,1.984465,1.20485375,1.2757275,7.0
64,I,1.0125,0.75,0.225,8.66077225,4.12485225,1.7293195,2.5231055,9.0
65,F,1.475,1.175,0.3875,29.41260625,12.82814875,6.59125875,8.788345,11.0
66,F,1.6625,1.275,0.4375,39.859397,20.525038,6.350288,12.0485375,11.0
67,M,0.8125,0.5375,0.1875,4.422522,1.70097,0.94970825,1.26155275,5.0
68,I,1.35,1.0875,0.35,20.99280475,8.1930055,4.86193925,6.80388,8.0
69,M,1.2375,0.95,0.3625,14.004653,5.1312595,3.33106625,4.9611625,10.0
70,I,0.925,0.6875,0.225,7.1157245,3.061746,1.7293195,2.26796,7.0
71,F,1.45,1.125,0.375,23.3883375,10.75863525,5.3013565,5.8116475,9.0
72,M,1.6125,1.275,0.425,39.2073585,18.21455375,8.43397625,11.056305,12.0
73,I,0.9,0.6875,0.25,7.257472,3.118445,1.51669825,2.14038725,7.0
74,I,1.3875,1.0125,0.3375,20.11397025,8.94426725,4.819415,5.6699,9.0
75,I,1.3125,1.0,0.35,17.50581625,7.3992195,4.025629,5.5281525,11.0
76,M,1.0375,0.8125,0.25,13.11164375,7.10154975,3.005047,3.118445,7.0
77,I,1.325,1.025,0.375,24.7491135,10.149121,5.3013565,7.5126175,8.0
78,I,1.325,1.075,0.325,21.4605715,9.7805775,4.422522,5.953395,10.0
79,F,1.625,1.275,0.4375,39.2073585,19.447757,8.88756825,11.056305,10.0
80,I,1.1,0.8125,0.3,10.2908685,4.49339575,2.33883375,2.9766975,7.0
81,I,1.2125,0.8875,0.3,13.53688625,6.33611325,2.5231055,3.345241,7.0
82,M,1.25,1.0125,0.3125,16.23008875,7.24329725,3.40194,4.6776675,10.0
83,F,1.425,1.1,0.4125,24.607366,10.77281,5.48562825,7.7961125,12.0
84,F,1.1875,0.9125,0.2875,12.51630425,5.273007,3.175144,3.9972795,10.0
85,F,1.5,1.2,0.4125,31.79396425,15.52135125,7.89533575,7.37087,10.0
86,F,1.525,1.2125,0.4125,29.49765475,11.4248485,6.2085405,8.50485,12.0
87,M,1.525,1.1875,0.3875,29.5118295,13.2959155,6.5487345,8.34892775,9.0
88,M,1.5125,1.2375,0.4625,30.43318825,9.2135875,7.52679225,9.355335,12.0
89,F,1.4,1.1,0.35,26.94619975,13.16834275,5.03203625,7.087375,8.0
90,M,1.425,1.0875,0.3875,26.80445225,12.587178,5.2446575,7.087375,10.0
91,M,1.5625,1.225,0.375,34.23202125,18.200379,7.7394135,8.3631025,10.0
92,I,1.2625,0.9625,0.2875,17.7184375,9.25611175,2.721552,4.53592,8.0
93,F,1.675,1.2625,0.4,37.1094955,15.46465225,9.241937,9.2135875,11.0
94,M,1.425,1.1,0.375,30.900955,14.04717725,6.16601625,8.788345,9.0
95,M,1.5,1.1625,0.375,27.59823825,13.2959155,6.19436575,7.2291225,11.0
96,M,1.5625,1.25,0.4375,36.3157095,13.99047825,8.80251975,10.3475675,15.0
97,M,1.4,1.1,0.3875,24.8625115,9.45455825,5.45727875,7.12989925,10.0
98,I,1.05,0.8125,0.275,9.93649975,4.8477645,1.7860185,2.83495,7.0
99,F,1.2125,0.9125,0.4125,16.31513725,5.1312595,3.41611475,5.5281525,17.0
100,M,1.3125,0.9625,0.2875,17.36406875,9.8939755,3.288542,3.8271825,8.0
101,M,1.4375,1.1125,0.3875,25.7129965,10.5176645,4.706017,7.5126175,9.0
102,I,0.9,0.6875,0.2125,5.45727875,2.67902775,1.20485375,1.8427175,6.0
103,M,1.625,1.325,0.475,45.472598,21.262125,9.128539,12.3320325,11.0
104,F,0.9625,0.7625,0.2625,7.2858215,2.76407625,1.3891255,2.6932025,12.0
105,M,1.45,1.125,0.4375,26.01066625,9.1001895,6.08096775,8.221355,15.0
106,F,1.5375,1.1875,0.375,37.9032815,17.57669,9.34116025,9.7805775,10.0
107,F,1.6375,1.2625,0.4375,36.1456125,15.081934,8.20718025,10.20582,15.0
108,I,1.3,1.0875,0.3,16.2442635,6.7755305,3.6003865,3.9405805,7.0
109,F,1.5625,1.25,0.375,31.22697425,14.21727425,6.010094,8.788345,9.0
110,F,0.975,0.75,0.2125,7.1157245,2.76407625,1.6159215,2.26796,9.0
111,I,1.125,0.9125,0.3375,12.133586,5.839997,1.984465,3.855532,9.0
112,I,0.6375,0.475,0.175,2.16873675,0.72291225,0.396893,0.7087375,5.0
113,I,1.0875,0.85,0.275,11.89261525,5.74077375,2.948348,3.685435,8.0
114,I,0.725,0.525,0.2,3.16096925,1.26155275,0.66621325,0.850485,5.0
115,I,0.8875,0.675,0.225,5.5281525,2.9766975,1.37495075,2.1262125,7.0
116,I,1.1,0.825,0.2625,11.72251825,4.74854125,2.08368825,3.3168915,8.0
117,F,1.35,1.0375,0.3125,21.885814,10.8011595,4.3941725,6.520385,8.0
118,M,1.5625,1.2625,0.4125,34.9549335,18.9091165,7.04485075,8.0796075,12.0
119,I,1.2625,0.9875,0.3125,16.48523425,7.10154975,3.55786225,4.9611625,9.0
120,M,0.9125,0.675,0.25,6.1518415,2.83495,1.3891255,2.4097075,9.0
121,I,0.9625,0.7,0.2375,6.7755305,2.721552,1.45999925,1.984465,6.0
122,M,1.525,1.1875,0.4125,36.117263,13.5227115,6.44951125,9.922325,19.0
123,I,0.9125,0.675,0.1875,5.783298,2.62232875,1.1623295,1.74349425,6.0
124,F,1.6375,1.275,0.475,39.41997975,18.27125275,8.4765005,11.3398,12.0
125,M,1.45,1.125,0.45,22.1976585,9.31281075,4.422522,7.2291225,16.0
126,M,1.05,0.775,0.25,9.298636,4.3374735,1.74349425,2.83495,11.0
127,F,1.6125,1.25,0.4375,36.967748,16.96717575,6.747181,10.489315,10.0
128,F,1.4,1.125,0.375,24.93338525,12.00601325,6.16601625,6.27941425,9.0
129,I,1.1625,0.9375,0.3,14.004653,6.25106475,2.9199985,4.252425,9.0
130,I,0.4125,0.1375,0.1125,1.45999925,0.18427175,0.056699,0.1417475,4.0
131,M,1.7125,1.375,0.4375,51.5110415,22.15513425,10.87203325,13.60776,19.0
132,I,1.1625,0.8875,0.25,13.39513875,6.4353365,3.515338,3.5436875,9.0
133,I,1.325,1.05,0.325,20.87940675,9.42620875,4.60679375,6.0951425,9.0
134,F,1.3,1.0,0.3875,20.638436,7.3992195,3.742134,7.5126175,15.0
135,I,0.7125,0.5375,0.175,3.9972795,1.54504775,0.43941725,0.9922325,5.0
136,F,1.775,1.35,0.4375,44.94813225,20.0430965,10.6310625,10.02154825,11.0
137,M,1.0375,0.775,0.2375,10.2908685,4.309124,2.59397925,3.118445,9.0
138,F,1.675,1.3,0.4375,41.900561,17.4349425,9.979024,11.4815475,10.0
139,F,1.625,1.3125,0.4375,38.22930075,18.200379,9.8939755,11.1980525,11.0
140,M,1.45,1.1625,0.4,29.78114975,13.60776,6.13766675,7.087375,10.0
141,I,0.9875,0.7375,0.2375,8.06543275,3.912231,2.4097075,2.26796,6.0
142,I,0.925,0.6875,0.2625,6.30776375,2.31048425,1.48834875,2.1262125,9.0
143,M,1.375,1.0625,0.3625,26.63435525,10.8011595,6.180191,7.2291225,10.0
144,F,1.25,0.9375,0.325,16.68368075,7.654365,3.72795925,5.2446575,9.0
145,M,1.2875,0.95,0.3125,15.43630275,6.5487345,3.4869885,4.6776675,11.0
146,M,1.4375,1.1,0.3875,28.22192725,12.6722265,5.5281525,7.7961125,9.0
147,F,1.5875,1.25,0.3875,36.0322145,17.93105875,7.07320025,9.4970825,10.0
148,M,1.725,1.3,0.475,43.6298805,18.15785475,7.95203475,16.159215,20.0
149,I,0.325,0.25,0.1,0.43941725,0.18427175,0.0850485,0.0850485,4.0
150,F,1.425,1.125,0.3875,28.67551925,12.1619355,5.9250455,7.200773,11.0
151,F,1.65,1.2875,0.4125,37.137845,14.6566915,9.00096625,10.0640725,12.0
152,M,1.4875,1.1375,0.35,28.8314415,13.2392165,5.74077375,7.5126175,10.0
153,I,0.6875,0.5125,0.1875,2.608154,0.86465975,0.80796075,0.850485,5.0
154,M,1.6125,1.225,0.4,31.62386725,12.94154675,6.78970525,10.489315,10.0
155,F,1.275,0.9625,0.3125,18.5689225,8.5331995,4.89028875,5.2446575,9.0
156,I,0.475,0.3,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,4.0
157,F,1.55,1.2875,0.425,32.16250775,12.71475075,7.29999625,9.07184,13.0
158,M,1.6625,1.275,0.45,39.2073585,18.86659225,8.57572375,10.0073735,9.0
159,F,1.5875,1.3125,0.4875,47.173568,19.66037825,8.83086925,15.4504775,11.0
160,M,1.125,0.8875,0.3,13.0124205,6.16601625,3.30271675,3.4869885,10.0
161,F,1.55,1.2125,0.45,37.06697125,16.9813505,7.27164675,11.1980525,10.0
162,M,1.55,1.275,0.3875,36.7126025,16.612807,7.144074,10.489315,13.0
163,M,1.3,1.0375,0.3,18.71067,8.4198015,3.912231,5.896696,9.0
164,I,1.15,0.9,0.275,13.53688625,5.6415505,2.4664065,3.0333965,8.0
165,F,1.5125,1.225,0.4125,35.3518265,16.0174675,6.30776375,9.355335,11.0
166,M,1.1125,0.875,0.25,12.99824575,5.499803,2.551455,3.5436875,9.0
167,M,1.3875,1.1,0.325,22.1976585,9.28446125,5.386405,6.520385,11.0
168,I,1.25,1.0,0.3125,16.91047675,7.24329725,3.81300775,5.0178615,9.0
169,M,1.4125,1.1,0.3125,23.3883375,10.73028575,4.03980375,6.80388,9.0
170,M,1.4875,1.2125,0.5,39.76017375,12.77144975,6.93145275,13.60776,13.0
171,M,1.5375,1.175,0.4125,29.44095575,14.13222575,6.08096775,8.221355,9.0
172,F,1.55,1.2125,0.5,35.6920205,15.762322,6.8322295,9.07184,27.0
173,M,1.2625,0.975,0.3125,16.839603,7.01650125,3.4869885,4.6209685,9.0
174,F,1.375,1.0875,0.375,24.87668625,10.77281,4.60679375,7.767763,10.0
175,I,1.2,0.975,0.3375,17.3215445,7.994559,3.27436725,4.7343665,8.0
176,F,1.2125,0.9375,0.4,24.777463,9.468733,5.8683465,7.7961125,10.0
177,M,1.2125,0.8875,0.35,15.8473705,6.123492,3.52951275,5.5281525,10.0
178,M,1.5375,1.1875,0.4375,34.416293,16.4143605,8.40562675,9.07184,10.0
179,I,1.1,0.8875,0.275,11.89261525,4.80524025,2.67902775,3.81300775,7.0
180,I,0.7875,0.575,0.2,3.6003865,1.3891255,0.8788345,1.13398,6.0
181,M,1.1,0.8625,0.275,12.3887315,5.5848515,2.62232875,3.685435,9.0
182,I,1.5625,1.1875,0.3875,28.02348075,12.99824575,5.499803,7.29999625,10.0
183,I,1.4625,1.0875,0.3875,20.638436,9.6671795,4.57844425,6.23689,8.0
184,M,1.9375,1.45,0.5375,57.7479315,24.664065,13.62193475,17.293195,11.0
185,M,1.0,0.75,0.2625,10.78698475,4.69184225,1.77184375,3.118445,10.0
186,I,1.15,0.8375,0.35,15.3370795,7.72523875,3.35941575,4.53592,8.0
187,M,1.0125,0.775,0.275,9.525432,4.46504625,1.74349425,2.4097075,10.0
188,M,1.65,1.2875,0.4375,39.19318375,19.37688325,8.448151,11.623295,10.0
189,M,1.5625,1.225,0.4125,31.638042,14.4298955,6.67630725,8.1363065,11.0
190,I,1.3,1.0,0.3,15.87572,8.334753,3.01922175,4.9611625,8.0
191,M,1.625,1.3,0.45,41.8722115,18.200379,8.03708325,11.7650425,11.0
192,M,1.2625,0.9625,0.3125,18.6256215,6.973977,3.3735905,5.386405,15.0
193,M,0.5625,0.4125,0.1125,1.304077,0.5386405,0.1984465,0.3118445,4.0
194,I,0.4125,0.275,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,4.0
195,I,0.7,0.5375,0.2,3.96893,1.5025235,0.8788345,0.9355335,7.0
196,I,1.05,0.8125,0.2625,10.95708175,5.28718175,2.22543575,2.7499015,7.0
197,M,1.1875,0.9125,0.3125,12.88484775,5.10291,2.59397925,4.3941725,10.0
198,F,1.5,1.1875,0.4375,31.1561005,13.9196045,7.89533575,9.922325,10.0
199,M,1.525,1.175,0.3875,28.56212125,13.53688625,6.80388,7.5126175,9.0
200,I,0.4,0.275,0.075,0.69456275,0.26932025,0.12757275,0.1417475,7.0
201,I,0.8125,0.625,0.175,4.80524025,2.0695135,0.72291225,1.1623295,6.0
202,M,1.35,1.0375,0.3625,19.97222275,8.50485,4.97533725,6.23689,10.0
203,M,1.4625,1.1625,0.375,31.70891575,13.70698325,6.917278,9.7805775,13.0
204,I,1.25,1.0,0.3,17.78931125,7.04485075,3.55786225,5.2446575,8.0
205,I,0.875,0.6625,0.225,5.25883225,2.19708625,0.86465975,1.8427175,7.0
206,M,1.55,1.2,0.4125,42.354153,14.5999925,8.60407325,11.3398,18.0
207,I,1.175,0.9375,0.3,15.74814725,7.654365,3.04757125,4.2807745,6.0
208,I,1.175,0.8875,0.3125,13.13999325,5.896696,3.04757125,4.6776675,8.0
209,I,0.9625,0.7125,0.2125,7.3425205,2.948348,1.077281,1.70097,6.0
210,F,1.1875,0.9125,0.3375,21.87163925,11.736693,4.195726,5.386405,8.0
211,I,0.9625,0.75,0.2375,8.0229085,3.58621175,1.65844575,2.42388225,8.0
212,M,1.575,1.2375,0.375,35.62114675,14.72756525,9.128539,9.63883,9.0
213,I,0.9,0.675,0.2125,6.066793,2.2963095,1.31825175,1.984465,7.0
214,M,1.625,1.3125,0.4875,41.4753185,18.32795175,8.731646,11.7650425,12.0
215,F,1.6375,1.3125,0.4375,38.838815,17.0097,8.37727725,11.90679,12.0
216,I,1.1,0.925,0.275,13.0691195,6.67630725,3.50116325,3.572037,8.0
217,M,1.6125,1.275,0.475,35.50774875,15.762322,8.674947,11.1980525,12.0
218,F,1.2375,0.9875,0.3,16.68368075,7.86698625,3.50116325,3.78465825,8.0
219,I,0.35,0.2625,0.0875,0.49611625,0.1417475,0.09922325,0.1417475,4.0
220,M,1.4375,1.125,0.375,26.09571475,12.417081,5.76912325,7.32834575,9.0
221,M,1.3125,1.05,0.35,24.56484175,13.53688625,4.6209685,6.520385,9.0
222,M,1.4,1.05,0.3375,19.43358225,8.68912175,4.43669675,5.8116475,10.0
223,F,1.525,1.1875,0.4625,31.19862475,11.623295,6.3219385,9.922325,13.0
224,F,1.175,0.9375,0.3125,12.99824575,4.72019175,3.061746,4.819415,10.0
225,M,1.65,1.3125,0.5,41.39027,16.74037975,8.448151,11.5949455,10.0
226,M,1.5,1.2625,0.425,33.46658475,13.13999325,8.9300925,9.7805775,11.0
227,I,0.875,0.675,0.2375,5.34388075,2.36718325,1.13398,1.8427175,7.0
228,I,1.1,0.8125,0.25,10.95708175,4.5075705,2.05533875,3.118445,7.0
229,M,1.4375,1.175,0.375,28.64716975,12.757275,5.9250455,6.80388,9.0
230,I,0.875,0.65,0.225,5.5281525,2.4097075,0.86465975,1.48834875,6.0
231,I,1.0,0.8125,0.275,8.46232575,3.89805625,1.7293195,3.118445,9.0
232,I,1.475,1.125,0.4,27.499015,9.7238785,7.597666,8.50485,10.0
233,F,1.55,1.225,0.4,31.6096925,13.50853675,6.6621325,9.82310175,7.0
234,I,0.8125,0.55,0.1875,4.12485225,1.82854275,0.97805775,1.2757275,5.0
235,F,1.7,1.2625,0.4625,50.6605565,19.5895045,10.20582,13.324265,13.0
236,I,1.3625,1.075,0.3875,22.963095,9.85145125,4.86193925,6.0384435,9.0
237,I,0.625,0.4375,0.1625,2.0695135,0.963883,0.510291,0.7087375,6.0
238,I,1.3375,1.05,0.4125,23.09066775,7.75358825,5.17378375,8.50485,13.0
239,M,1.65,1.2625,0.425,40.1145425,15.2803805,8.68912175,12.3320325,10.0
240,I,1.3625,0.9625,0.3375,19.97222275,9.87980075,3.8838815,5.20213325,8.0
241,M,1.525,1.1875,0.325,27.00289875,12.26115875,6.22271525,6.80388,8.0
242,M,1.2625,1.0,0.3125,20.0430965,7.314171,4.252425,5.386405,10.0
243,M,1.4875,1.1875,0.4125,26.2232875,10.489315,5.45727875,9.4970825,14.0
244,M,1.575,1.2125,0.475,35.8621175,17.08057375,6.90310325,11.7650425,15.0
245,I,1.3625,1.05,0.3625,24.7491135,11.83591625,5.03203625,6.87475375,9.0
246,I,0.8375,0.65,0.225,5.1312595,2.90582375,1.43164975,2.154562,8.0
247,M,1.65,1.2875,0.4125,37.9032815,17.4349425,8.85921875,9.4970825,9.0
248,F,1.275,1.0,0.35,16.40018575,7.86698625,3.8838815,4.3941725,9.0
249,M,1.65,1.3125,0.5,41.39027,17.19397175,8.448151,12.47378,12.0
250,F,1.3625,1.075,0.4125,20.41164,6.95980225,4.3374735,8.221355,14.0
251,F,1.175,0.925,0.2875,14.968536,6.05261825,2.87747425,4.3941725,11.0
252,I,1.1875,0.8875,0.3,12.984071,5.443104,3.1467945,3.5436875,8.0
253,M,1.1875,0.9375,0.2625,14.628342,6.6621325,2.721552,4.6776675,9.0
254,I,1.2875,0.925,0.3125,15.8473705,7.3992195,3.231843,4.1106775,9.0
255,I,1.0375,0.75,0.2625,11.5949455,6.3786375,2.42388225,3.118445,7.0
256,M,1.3125,1.0,0.3375,22.01338675,8.561549,4.01145425,6.520385,9.0
257,I,0.9,0.675,0.225,6.27941425,2.721552,1.14815475,1.8427175,7.0
258,I,0.925,0.675,0.225,6.13766675,2.9199985,1.0489315,1.587572,6.0
259,F,1.5875,1.275,0.45,38.11590275,15.989118,8.561549,12.0485375,10.0
260,F,1.4375,1.0875,0.4125,31.18445,9.76640275,6.30776375,9.2135875,17.0
261,I,0.8375,0.6375,0.2,5.613201,2.05533875,1.4458245,1.70097,6.0
262,I,0.9375,0.65,0.2,5.06038575,2.4097075,1.3891255,1.85689225,7.0
263,I,0.7875,0.575,0.175,3.67126025,1.31825175,0.66621325,1.13398,8.0
264,I,1.0375,0.8375,0.2625,11.77921725,5.10291,2.45223175,3.2601925,8.0
265,F,1.55,1.2125,0.4375,36.95357325,16.96717575,8.4198015,10.84368375,9.0
266,I,0.9,0.65,0.225,5.96756975,2.05533875,1.17650425,1.984465,7.0
267,I,1.3875,1.05,0.3375,15.87572,7.257472,3.01922175,4.9611625,9.0
268,F,1.625,1.2875,0.375,35.096681,14.5432935,8.901743,11.1980525,11.0
269,F,1.5375,1.275,0.4375,38.612019,16.782904,8.97261675,11.90679,12.0
270,M,1.575,1.2125,0.375,35.81959325,14.10387625,7.98038425,8.9300925,12.0
271,M,0.95,0.7125,0.2625,7.9095105,3.2601925,1.63009625,2.4097075,7.0
272,F,0.825,0.6625,0.25,5.2446575,2.26796,1.020582,1.8427175,9.0
273,F,1.2625,1.0,0.4125,18.1153305,6.520385,4.15320175,6.520385,10.0
274,F,1.275,1.0125,0.325,17.84601025,7.6827145,4.025629,5.10291,8.0
275,F,1.7875,1.4,0.4375,49.32813,24.6924145,8.4765005,13.4660125,12.0
276,I,0.8375,0.6375,0.2125,4.819415,1.74349425,1.0489315,1.417475,6.0
277,I,0.8625,0.6375,0.2,5.06038575,2.721552,1.0489315,1.417475,6.0
278,I,1.175,0.9375,0.35,16.91047675,7.1724235,3.27436725,4.53592,8.0
279,I,1.025,0.75,0.25,8.5331995,3.515338,1.7293195,2.1262125,7.0
280,M,1.3,1.0125,0.3625,20.96445525,7.92368525,4.025629,7.37087,10.0
281,F,1.1625,0.8875,0.275,14.78426425,6.02426875,2.608154,4.252425,9.0
282,F,1.1,0.85,0.2625,12.99824575,5.6699,2.6365035,3.685435,11.0
283,M,1.35,1.0375,0.3625,22.2543575,11.169703,5.5281525,5.5281525,10.0
284,M,1.45,1.125,0.3875,25.64212275,10.47514025,5.5281525,7.55514175,13.0
285,M,1.375,1.05,0.425,23.60095875,7.9095105,4.63514325,8.0796075,12.0
286,M,0.9375,0.7125,0.2625,7.86698625,3.061746,1.6726205,2.551455,9.0
287,M,1.575,1.225,0.4125,32.41765325,13.93377925,7.01650125,9.63883,11.0
288,M,1.375,1.1,0.375,23.91280325,9.36950975,5.3580555,7.37087,8.0
289,M,1.375,1.1,0.3625,22.01338675,9.48290775,4.9044635,7.6260155,11.0
290,M,1.4125,1.1125,0.35,22.5378525,10.87203325,4.55009475,6.747181,9.0
291,F,1.5125,1.2125,0.4,31.19862475,11.3398,7.41339425,10.489315,16.0
292,M,1.425,1.125,0.3875,32.31843,12.20445975,7.52679225,8.0796075,11.0
293,F,1.2875,0.975,0.35,16.31513725,6.4920355,3.7137845,4.876114,9.0
294,I,0.875,0.6625,0.225,5.06038575,2.2396105,0.89300925,1.70097,6.0
295,I,1.2125,0.925,0.325,14.92601175,6.0951425,3.01922175,4.1106775,7.0
296,I,0.8875,0.675,0.1875,5.03203625,2.26796,1.11980525,1.5592225,6.0
297,M,1.3875,1.075,0.3625,22.75047375,10.4609655,4.63514325,7.2291225,8.0
298,I,1.0375,0.8,0.2375,9.979024,4.46504625,2.08368825,2.9199985,8.0
299,F,1.5,1.1875,0.4125,30.71668325,11.793392,5.329706,12.8990225,20.0
300,M,1.7375,1.3375,0.425,47.003471,16.3009625,7.1724235,15.4504775,17.0
301,F,1.65,1.2625,0.5125,45.2741515,21.262125,9.865626,13.60776,11.0
302,F,1.1,0.775,0.3125,16.42853525,7.04485075,3.3168915,4.819415,9.0
303,M,1.5625,1.2375,0.45,37.7331845,16.23008875,8.4198015,11.056305,21.0
304,M,1.375,1.0875,0.3125,21.4038725,7.92368525,4.422522,7.37087,16.0
305,I,0.875,0.6625,0.2,5.6699,2.26796,1.51669825,1.984465,6.0
306,I,0.75,0.5875,0.1875,3.64291075,1.54504775,0.5386405,1.020582,5.0
307,I,0.7375,0.5375,0.175,3.9972795,1.0489315,0.69456275,0.9922325,5.0
308,I,1.0875,0.875,0.3125,13.39513875,5.88252125,2.79242575,3.685435,7.0
309,I,0.925,0.6875,0.2125,7.9095105,2.9199985,1.85689225,2.26796,7.0
310,I,0.925,0.6875,0.25,7.1724235,2.721552,1.31825175,2.26796,7.0
311,I,1.0125,0.775,0.225,9.07184,4.9044635,1.8427175,2.26796,7.0
312,F,1.3625,1.1125,0.325,23.3883375,8.77417025,4.252425,7.1724235,10.0
313,I,1.1875,0.9,0.275,12.34620725,5.499803,2.2963095,3.5436875,7.0
